,0
scan_ratio,0.20708239579045903
dst_density,0.15285154496112435
port_density,0.14378072386410193
conn_per_src,0.09067554426392137
dst_per_time,0.08050084369360085
pkt_ratio,0.07168868237644116
burst_10s,0.04695663947023825
unique_ports,0.04346139835905221
orig_pkts,0.03782838487449682
pkts_total,0.03224590600075702
burst_ratio,0.026639231568478063
duration,0.02331919894202242
unique_dst,0.013522678732516192
fail_ratio,0.011166737771834436
resp_ip_bytes,0.006282652821646513
resp_pkts,0.004448919378099228
bytes_ratio,0.0018505463091176904
bytes_per_pkt,0.0012571959995267615
failed_conn,0.0011474788908205525
flow_rate,0.000870946572518194
bytes_total,0.0007776118005929591
orig_bytes,0.0007733556712853899
resp_bytes,0.0005602881665699567
service_freq,0.00030950314101404764
missed_bytes,1.590579764755943e-06
local_resp,0.0
local_orig,0.0
